City ID,City,State,Country
UT1,Provo,Utah,United States of America
NonUS GB1,Edinburgh,NA,United Kingdom
NC1,Charlotte,North Carolina,United States of America
NonUS CA1,Montreal,NA,Canada
UT2,St. George,Utah,United States of America
NonUS GB2,London,NA,United Kingdom
IL1,Oak Park,Illinois,United States of America
NC2,Cary,North Carolina,United States of America
SD1,Rapid City,South Dakota,United States of America
TN1,Nashville,Tennessee,United States of America
CA1,Fremont,California,United States of America
NonUS AU1,Adelaide,NA,Australia
NY1,New York,New York,United States of America
CA2,Los Angeles,California,United States of America
NonUS CA2,Fredericton,NA,Canada
MI1,Ypsilanti,Michigan,United States of America
IL2,Chicago,Illinois,United States of America
MI2,Ferndale,Michigan,United States of America
MI3,Grand Rapids,Michigan,United States of America
MN1,Minneapolis,Minnesota,United States of America
CA3,Torrance,California,United States of America
NonUS DE1,Berlin,NA,Germany
NC3,Durham,North Carolina,United States of America
CA4,Twentynine Palms,California,United States of America
FL1,Fort Lauderdale,Florida,United States of America
NonUS GB3,Southampton,NA,United Kingdom
GA1,Atlanta,Georgia,United States of America
CA5,Glendale,California,United States of America
NY2,Brooklyn,New York,United States of America
ID1,Sandpoint,Idaho,United States of America
NH1,Londonderry,New Hampshire,United States of America
CA6,Huntington Beach,California,United States of America
PA1,Pittsburgh,Pennsylvania[E],United States of America
NH2,Nashua,New Hampshire,United States of America
NJ1,West Orange,New Jersey,United States of America
MD1,Baltimore,Maryland,United States of America
CO1,Colorado Springs,Colorado,United States of America
MS1,Jackson,Mississippi,United States of America
NV1,Reno,Nevada,United States of America
FL2,Orlando,Florida,United States of America
HI1,Wailuku,Hawaii,United States of America
MO1,St. Louis,Missouri,United States of America
FL3,Oviedo,Florida,United States of America
NonUS DK1,Copenhagen,NA,Denmark
NJ2,New Brunswick,New Jersey,United States of America
CA7,Goleta,California,United States of America
CO2,Pueblo,Colorado,United States of America
NonUS GB4,Powys County,NA,United Kingdom
NY3,Manhattan,New York,United States of America
RI1,Providence,Rhode Island[F],United States of America
NonUS GB5,Leeds,NA,United Kingdom
CA8,Alhambra,California,United States of America
CA9,Merced,California,United States of America
MA1,Northampton,Massachusetts[E],United States of America
NonUS GB6,Greater London,NA,United Kingdom
MO2,Springfield,Missouri,United States of America
WA1,Spokane,Washington,United States of America
NC4,Asheville,North Carolina,United States of America
NonUS GB7,Northamptonshire,NA,United Kingdom
NonUS NL1,Amsterdam,NA,Netherlands
CO3,Arvada,Colorado,United States of America
ID2,Boise,Idaho,United States of America
WI1,Milwaukee,Wisconsin,United States of America
HI2,Kailua,Hawaii,United States of America
NonUS GB8,Portsmouth,NA,United Kingdom
NC5,Raleigh,North Carolina,United States of America
IL3,Hanover Park,Illinois,United States of America
ME1,Rockland,Maine,United States of America
CA10,San Diego,California,United States of America
WI2,Kenosha,Wisconsin,United States of America
AZ1,Flagstaff,Arizona,United States of America
IN1,Fort Wayne,Indiana,United States of America
CA11,San Jose,California,United States of America
WA2,Bellevue,Washington,United States of America
OR1,Hood River,Oregon,United States of America
UT3,Salt Lake City,Utah,United States of America
NonUS FR1,Digne-Les-Bains,NA,France
NonUS GB9,Glasgow,NA,United Kingdom
UT4,Logan,Utah,United States of America
NonUS AU2,Hobart,NA,Australia
CA12,Barstow,California,United States of America
OR2,Portland,Oregon,United States of America
NonUS MX1,Puebla,NA,Mexico
NonUS GB10,Budapest,NA,United Kingdom
VA1,Richmond,Virginia[E],United States of America
NonUS MX2,Juarez,NA,Mexico
TN2,Knoxville,Tennessee,United States of America
OK1,Midwest City,Oklahoma,United States of America
NonUS NL2,Dongen,NA,Netherlands
CA13,Hollywood,California,United States of America
CA14,Pasadena,California,United States of America
TX1,San Marcos,Texas,United States of America
NonUS DE2,Cologne,NA,Germany
OH1,Cincinnati,Ohio,United States of America
CA15,Modesto,California,United States of America
WA3,Bellingham,Washington,United States of America
NonUS ES1,Madrid,NA,Spain
IL4,Urbana,Illinois,United States of America
NonUS NO1,Hareid,NA,Norway
MA2,Lowell,Massachusetts[E],United States of America
AZ2,Tucson,Arizona,United States of America
TX2,Houston,Texas,United States of America
NonUS CA3,Markham,NA,Canada
WA4,Seattle,Washington,United States of America
NC6,Greensboro,North Carolina,United States of America
NonUS AU3,Bundaberg,NA,Australia
NonUS IT1,Milan,NA,Italy
IA1,Decorah,Iowa,United States of America
CA16,San Francisco,California,United States of America
GA2,Athens,Georgia,United States of America
CO4,Lakewood,Colorado,United States of America
CO5,Fort Collins,Colorado,United States of America
NonUS NO2,Oslo,NA,Norway
LA1,New Orleans,Louisiana,United States of America
NV2,Las Vegas,Nevada,United States of America
DE1,Dover,Delaware,United States of America
NonUS GB11,Belfast,NA,United Kingdom
TN3,Memphis,Tennessee,United States of America
NY4,Binghamton,New York,United States of America
SC1,Columbia,South Carolina,United States of America
NonUS HK1,Hong Kong,NA,Hong Kong
NY5,Long Island,New York,United States of America
NonUS GB12,Bristol,NA,United Kingdom
NonUS AU4,Brisbane,NA,Australia
IN2,Indianapolis,Indiana,United States of America
MA3,Worcester,Massachusetts[E],United States of America
NonUS DE3,Rauenberg,NA,Germany
NonUS CA4,Vancouver,NA,Canada
PA2,Philadelphia,Pennsylvania[E],United States of America
